wãsia gʉdaʉ,"especie de árbol (produce fruto que alimenta a pájaros y algunos animales). 335 encuentra en los rastrojos. Los micos maiceros, los churucos y las aves como los pavos del monte y los tucanes comen su fruto. pl. wãs a gʉdaʉ yucʉ , wãs a gʉdaʉri. wãsia ojo w sĩ ó o E w sĩ ó ó J] inan.f.n.esp. especie de plátano bocadillo."
wãsi ñico,"1 especie de pájaro. 2 especie de cucarrón, escarabajo (que tiene abdomen largo)."
wãsisuri,"especie de milpiés. P. Arthropoda, C. Diplopoda."
wãsoa,"pepas de vansoco (reg. frutas comestibles y dulces de una especie de árbol). sing. wãsoa. pl. wãsoa, wãsoari. V. wãsoʉ."
Wãsoa baba,cerro cerca de Ẽoña por el camino a Cõmeña.
wãsoabutua jacʉ,cachudito paramuno (especie de pajarito). Anairetes parulus.
wãsoa noero,especie de pájaro (de un cuento antiguo).
wãsoa weco,especie de lora.
wãsoa wejero,"w s w o J] an. tayra, eirá. Eira barbara."
wãsoʉ,árbol de vansoco (reg. produce una fruta comestible).
wãti,"monstruo del monte. sinón. macarocaagʉ wãt ‘monstruo del monte’. V. r jaar wãt ‘es r tu de un muerto’. —inan. 1 reflejo, reflexión. 2 sombra de ser animado. 336 V. yʉsʉr jʉ."
wãti beroa,an.s.plural abejas wãti beroa (negras y pican).
wãti biaʉ,"especie de árbol (inútil, produce fruto no comestible)."
wãti biru,especie de pájaro nocturno.
wãti bosea,especie de hongo (incomible).
wãticome,hongos incomibles.
wãtijata,envase tejido de dos hojas de la palma patabá (hecho para llevar comida a la casa).
wãti jitiri,pájaro atrapamoscas apical. Myiarchus apicalis.
wãtijoa,tuberculosis.
wãti jogoro,"polilla, mariposa (varias especias)."
wãti jotaʉ,especie de arbusto (maleza que crece en el rastrojo).
wãti sedaria,especie de hongo (incomible). 337 un hongo que sale de la tierra con un micelio/tallo alargado. pl. wãti sedare. V. wãticome.
wãti sotʉ,"hongos wãti sotʉ (incomibles, tienen esporófitos cóncavos o capas invertidas)."
weaare,"mojarse (tela, ropa)."
weajiire,señalar a venir.
weajʉ,hacia) a un lado de.
weajʉdare,dar vuelta remando (la canoa para regresarse).
weare,remar (canoa).
—v.t.sing.,"quitarse (una cosa, ropa, tornillo), desvestirse."
weari J,wajio E s.v.inan.f.n.esp. remos de canoa.
weariaro,"llave. pl. weare, weariarori."
weasãjabeti,"ser/estar) impermeable. V. ríí wareriajoa, wease."
wease,"mojarse, (estar) mojado, mojada (tela, ropa)."
wéase,aletas del pez.
weatuure,"pilotear, navegar (canoa)."
weawiojoore,"we w o oó J] v.i. remar al centro del río, sacar canoa al centro del río."
weca,arriba.
wecajʉado sudiro E,
wecajʉado yʉta wasoro J,"camisa, blusa. pl. wecajʉaye sud , wecajʉaye sud ror weco wecomi Eduria & Barasana – Español – 338 wecajʉado sudiro E, wecajʉado yʉta wasoro J camisa"
weco,"1 loro, lora. 2 especie de saltón, saltamontes (incomible de color verde). Microcentum spp."
wecoarʉcʉ,especie de yuca brava.
weco ãña,especie de culebra (venenosa y de color verde).
wecomi,águila blanca (especie de color negro en el hombro y la espalda y de color blanco en las partes inferiores). Leucopternis albicollis. 339 wecʉ danta
wecʉ,danta. Tapirus terrestris.
wecʉ gʉdaʉ,especie de árbol (cuya cáscara se utiliza para untar a la cara).
Wecʉ jataya,"danta_rana.esp-caño, cañito, afluente del río Pirá-Paraná (río arriba de la escuela de Sonaña). wecʉ jã o armadillo grande"
wecʉ jã o,"especie de armadillo (grande, comestible). Priodontes giganteus."
wecʉ jisaʉ,"especie de pájaro (pequeño, de color gris y negro)."
wecʉ nunuro,moscardón (especie de tábano grande que molesta a la danta). Tabanas spp.
Wecʉ risero,lugar cerca del río Pirá-Paraná donde hay un plano de piedra.
wecʉsãniro,abrevadero de dantas (lugar donde las dantas vienen para tomar).
wecʉ sĩpairo,pájaro guayabero ocre (pequeño y verde quien a la gente le gusta criar). Chlorothraupis stolzmanni.
wee,"inan.s.de masa pigmento, tinta, pintura negra (para el cuerpo hecha de las hojas del arbusto weʉ). 340 frente de la cara de él (la luna). V. weʉ. wee yire pintar (el cuerpo con tinta negra wee)."
weese,"raer, raspar (ropa, piel, canoa)."
wegare,we g J] v.t. llevar un palo llameante (para poder prender otra candela).
weja eyoore,we d oo e J] v.t. aplanar y hacer más ancha (olla de barro).
wejájiore,"arrastrar (palos a la maloca, canoa al puerto)."
wejare,"emparejar, aplanar olla de barro (con pedazo de cuya)."
wejáre,"arrastrar por el suelo (canoa, palo, bejuco)."
weje,rana minadora o balita (especie comestible).
wejere,1 bajar (frutas con un palo). 2 pescar. V. wai wejere.
wejére,"quitarse (la ropa), desvestirse."
"wejerijoa E, J","wajerijoa YM inan. escroto. 341 ujua quẽnocõar , ãt arar ne, ĩ ñ cʉ wejer joa ejarãre, becoare jutiyuju Warimi. Dicen que Warimi utilizaba una cerbatana pequeña hecha de la caña yuayʉtaʉ y tallos de briznas como dardos para disparar a los mosquitos que llegaron al escroto de su abuelo. V. rujajoa."
wejese,"1 rajarse, henderse (en más que una parte de olla, canoa, coco, huevo). 2 empollar (huevo), salir de huevo. V. ria wejere."
wejoore,"despellejar, sacar (la piel del tigre, anaconda, cáscara de árbol)."
weore,"remojar (ropa, hamaca, fariña)."
werajo,pájaro mirapalcielo (reg.). Nyctibius spp.
were,"especie de cigarra (anual). Tibicen spp. V. cʉ ma w rero, ĩajacʉ, wãmʉgu gu amʉ."
werea,"an.s.plural abejas werea (pequeñas, producen cera utilizada en las ceremonias rituales para proteger a los participantes de enfermedades). F. Halictidae."
weroĩare,"probar, saborear (comida por lamer)."
werore,1 lamer o lamber. 2 comer (uvas).
wese,"chagra, huerta, campo para cultivo (de poca extensión)."
weseaye,"productos de una chagra. 342 adocãrãca wãme ñaaja: Quĩ , caj , ʉye, sõna, sẽna, ñaj , cajo, gajeye quẽne Algunos productos sembrados de la chagra son: Yuca brava, coca, uvas del monte, marañones, piña, batata y chonque. pl. weser aye ‘ roductos de var as c agras’. wese buja tortolita colilarga"
wese buja,tortolita colilarga (especie de paloma de la chagra de color gris). Scardafella squammata.
wese codea,boa tragavenados (especie de güío). Boa constrictor.
wese cõne,pájaro carpintero real. Dryocopus lineatus.
wesegodo,"rastrojo, chagra abandonada (cuando la yuca brava está agotada)."
weseriaye,productos de varias chagras. sing. weseaye ‘ roductos de una c agra’.
weserõmia,an.s.plural mosquitos weserõmia (que se aparecen cuando prende fogón en la chagra).
weta,"inan.s.de masa residuo de polvo (después de quitar el afrecho), producto puro (como almidón de yuca brava, coca, harina de trigo, etc.)."
weta boero,1 especie de escarabajo (con casco morado oscuro y líneas blancas). 343 2 pájaro tityra colinegra. Tityra cayana.
wetaraje,envase de almidón de yuca brava.
weta rase,"tucán pechiblanco, tucán silbador (comestible, las plumas se utiliza en la danza). Ramphastos culminatus."
weta rõji,"especie de pavón, paujil. Crax spp. V. rõji."
wetayoa,"an.s.plural grupo étnico entre los eduria. sing. wetayoagʉ, wetayoago V. eduria, rujayoa."
wetire,"1 hundirse (tierra). 2 soltarse, separarse de la danza."
weʉ,"especie de arbusto (cultivado, cuyas hojas son utilizadas para hacer la pintura negra del cuerpo)."
wewo,1 carrizos (flautas hechas de la caña carrizo). 2 cañas carrizos o wewo (especie usada para hacer carrizos).
wẽabueguure,wẽ ú gúú J] v.t. proteger al niño del maligno por ventilar humo de cera (hecho por el chamán).
wẽabuere,ventilar humo (para evitar los mosquitos).
wẽare,"guindar, colocar (hamaca)."
wẽatuse,"entrar a la casa, soplar, correr (viento, brisa), hacer viento. 344 wẽatuaja Entra mucha brisa puesto que la casa no está encerrada. V. jutire, m no wẽasõose."
wẽca,"cortezas de una especie de bambú (especie delgadita y dura, que se utiliza como bastones en las danzas, encontrada cerca del río Cõmeña)."
wẽebedoare,"redondear (palo o bejuco como en hacer el borde de una canasta con un bejuco). sinón. bedoare. V. rujabedo, wẽre."
wẽejeare,"partir (palo, pescado, casabe, pan, etc.)."
wẽejoore,"enderezar, poner presión para enderezar."
wẽe ʉtoore,despedazar (pescado muqueado).
wẽewaare,"abrir con las manos (pepa, la boca)."
wẽjare,"caerse (cosas, personas)."
wẽjareare,caerse al desperdicio (frutas de árbol) o la muerte (personas de avión). sing. wẽjarocare V. wẽjare.
wẽjarocare,"lanzar, tirar (como tirar un Frisbee)."
wẽjase,"gotear (techo, sangre, sudor). 1 cosas caídas. 2 gotera."
wẽjayayere,wẽ d d e e J] v.t.pl. sacudir agua de las manos (por agitarlas).
"wẽjeriti E, J",wãjeriti YM inan.f.n.esp. hongos comestibles.
wẽniro,"volteador (abanico tejido para voltear casabe, usado también para avivar el fuego). 345 wẽn ro El abanico se utiliza para voltear el casabe. V. jeje wẽn ro, ñucaa wẽn ro."
wẽñaare,"poner una banda o una tira por el brazo, la pierna o la cintura."
wẽñaaria aa,"wẽ m J] s.v.inan. cuerda, cordón (que se ponen alrededor de las caderas de los hombres; se usa para sostener el guayuco)."
wẽñaariaro,"1 correa, cinturón. 2 reloj de pulsera. wrist— sinón. muiju cõorito. wẽre V. õere."
wẽria aa,"õeriamaa s.v.inan. cuerda, piola."
wẽ yooro,especie de insecto (parecida a la mariposa).
wia ajere,colorear.
wiare,"1 pintar (casa, calabazas con savia, etc.). 2 colorear. sinón. wia ajere. 3 untar veneno sobre la superficie de dardos."
wica roca,área afuera de la casa debajo del techo o el alero a lo largo de la casa en la sombra.
wida,chonques wida (especie de tubérculos comestibles).
widacaje,"matas de chonque wida (especie con hojas oscuras). sing. widacaje. pl. widacaje, widacajeri. widase wii Eduria & Barasana – Español – 346 widacaje especie de chonque"
widase,"ser/estar) pegajoso, pegajosa (savia, brea, plátano cocido), arcillosa (tierra)."
widere,"aplicar, poner brea (por la cuerda que se utiliza en trabajos artesanales)."
widi,"inan.s.de masa 1 maleza, cizaña (lo que crece en abundancia dañosa o inútil). 2 basura. widi tuureare barrer la basura."
widi tuuriaboca,w d túú ó J] s.v.inan. escoba indígena.
widi tuuriaro,w d túu ó J] s.v.inan. escoba.
widiro,"monte bajo, maleza."
widise,"crecer (maleza, monte bajo)."
wii,"inan., cl.irreg. casa, maloca. 347 waáweore, wii jorere."
wii toore,construir las paredes de la casa.
wii munia E,wii muniro J w mũnĩ inan. unión de dos techos inclinados sobre la puerta (donde el techo inclinado de un lado se junta con el techo inclinado del otro lado).
wii rijo tũna,cumbrera de hojas (para la cumbre del techo).
wii rijo tũnagagũ u E,"wii rijo tũnagũ u J [ w ó tú n m s.v.inan. caballete, parhilera, cumbrera del techo."
wiigodo,"1 sitio donde estaba una casa. 2 solar, sitio donde estará una casa. 348 wiijãi chabola, casucha, mitasaba, refugio temporal"
wiijãi,"chabola, casucha, mitasaba (reg. refugio temporal en la chagra o la selva)."
wii mosiro,especie de grillo (vive en la casa).
wiiro,hembra del pájaro saltarín coronado. Pipra coronata. m. wĩto ero.
wijare,"1 ir (al centro o a la mitad del río, casa). 2 ir río abajo de un cañito a un río grande."
wijatuure,sacar comida (con un pedazo de casabe usándolo como una cuchara).
wirimoa,"limón, limones. Citrus medica, Citrus limon."
wiri oʉ,árbol de limón.
wiripiya,"fruta del árbol wiripiyaʉ (comestible, parecida a la guama). sing. wiripiya. pl. wiripiya."
wiripiyaʉ,"especie de árbol (produce la fruta comestible wiripiyaʉ, parecida al guamo). pl. w r yaʉ yucʉ , w r yaʉ yucʉ r ."
wiruse,"ser/estar) áspero, áspera; abrasivo, abrasiva (tierra, roca, piel desafeitada, tabla, banco)."
wisaaro,"área central, medio de la casa (el centro del techo donde los palos se unen)."
wisiore,tener dolor.
wisire,"enfermar, ponerse enfermo (por comer comida prohibida). 349 y yuja mʉʉ Usted está enfermo por comer pescado prohibido."
wĩji,"1 frutas wĩji (especie comestible parecida a la fruta de la palma chambirá). 2 palmas wĩji (especie con tronco espinoso). sing. wĩj ño pl. wĩj , wĩj ñor sinón. wĩj ño. wĩji jota inan.f.n.esp. espinas de la palma wĩji."
wĩjijotia,retoño nuevo de la palma wĩji (comestible).
wĩjiño,"especie de palma (produce frutos comestibles, tiene tronco espinoso). pl. wĩj , wĩj ñor sinón. wĩj ."
wĩjoa,"an.s.plural gusanos, orugas wĩjoa (especie negra, incomible)."
wĩjojũu,"hojas de una especie de caraná. sing. wĩjojũuro pl. wĩjojũu, wĩjojũuror sinón. moj jacʉ jĩco. V. rujajũuro."
wĩjore,silbar.
wĩ aaca,"plantas inmaduras, verdes."
wĩ acaje,"mata inmadura, verde de piña, chonque."
wĩ año,"palma inmadura, verde."
wĩ arʉcʉ,"matas de coca inmaduras, verdes. sing. wĩmarʉcʉ pl. wĩmarʉcʉ, wĩmarʉcʉr V. rujarʉcʉ."
wĩ ase,"inmaduro, inmadura; verde, en las primeras etapas del crecimiento (planta, mata, etc.). V. wĩmaaca."
wĩna asa,"an.s.plural desanos (grupo indígena). sing. wĩnagʉ , wĩnagõ."
wĩnire,"oler, inhalar."
wĩnisuare,aspirar tabaco echado en la mano.
wĩratu,pájaro monjita rabiblanca. Chelidoptera tenebrosa.
wĩsojũu,hojas del árbol wĩsojũʉ (las cuales se utilizan para lijar bancos y calabazas).
wĩsojũʉ,"especie de árbol (cuyas hojas se utilizan para lijar bancos y calabazas). pl. wĩsojũʉ yucʉ , wĩsojũʉ yucʉ r ."
wĩso sẽa,an.s.plural wĩso taaro woroase Eduria & Barasana – Español – 350 sardinas wĩso sẽa. Astyanas abramis.
wĩso taaro,especie de sapo (no comestible).
wĩso wese,campo de una especie de hierba cortante.
wĩto,"plumas de pechuga de ave (utilizadas para hacer coronas del baile, se usa las plumas del paujil, la garza ẽoroa ʉ y el gavilán)."
wĩtobero,pájaro saltarín coronado (comestible). Pipra coronata.
wĩto aa,parte del frente de la corona del baile (hecha de plumas del pavón). V. apén. dibujo de la corona de la danza.
wĩtoʉ,"parte de la corona del baile (que sale del tallo de plátano, hecha de la plumas del gavilán y la garza ẽoroa ʉ). V. apén. dibujo de la prenda de plumas para danzar."
woo ʉore,"arrancar, desgarrar hacia arriba (tela, corteza)."
woore,"romper, rasgar (papel, tela)."
wooriqueero,"desgarro, desgarrón, rotura, rasgón (en la ropa o la hamaca)."
woorujiore,"desgarrar hacia abajo (tela, corteza). antón. woomʉore. V. woore. woose, woorito desgarro, desgarrón, rasgón, rotura"
woose,"ropa rota, rasgón, rotura, desgarro, desgarrón en (tela, papel, hojas)."
woosurere,romper en pedazos.
wootaãmire,"arrancar (hoja de papel, mata)."
woroari,"1 viruela. 2 erupciones, pústulas. V. buuruari, gãja ocʉ woroari, rujaburuuri, woroase."
woroase,"ampollarse, salir ampollas. 351 mano cuando estaba tumbando la chagra."
worʉa,"inan., cl.irreg. nido del pez tarira."
wʉaã ire,"elevar, levantar."
wʉare,"tener relaciones sexuales, copular."
wʉase E,mosise J v.i. hervir.
wʉasoese E,mosisoese J v.i. salirse al hervir.
wʉere,"desherbar, deshierbar o desyerbar, arrancar (maleza)."
wʉjajũu,especie de maleza (cuyas hojas se enrollan al tocarlas).
wʉjana,"an.s.plural macunas (grupo indígena que habla el idioma macuna del ascend ente llamado “Yeba”). sing. wʉjanagʉ , wʉjanagõ sinón. ide masa."
wʉjãjare,volar a los extremidades del centro.
wʉjoa ejase E,"wʉja ejase J w e se v.i. (estar) soñoliento, soñolienta; tener sueño."
"wʉjoa jaigʉ, wʉjoa jaigo E","wʉja jaigʉ, wʉja jaigo J w g m., f. dormilón, dormilona."
wʉjoa jedire E,"wʉja jedire J w d v.i. no tener más sueño, acabarse el sueño."
wʉjo cʉtise,ruido escuchado de un muerto o difunto.
wʉjʉ,caña de wʉjʉ (especie de caña utilizada para tejer canastas). 352 wʉjʉbo balay
wʉjʉbo,balay (canasta plana y grande hecha de la caña wʉjʉ).
wʉjʉ cawia,especie de cangrejo (con casco de color café claro).
wʉore,mezclar.
wʉrare,"1 raspar, descortezar (corteza de árbol). 2 tocar el casco de morrocoy en la danza."
wʉrare,"1 raspar, pelar (yuca brava). 2 afeitarse. 3 desyerbar (patio con machete o pala)."
wʉrʉgoore,correr a un lado.
wʉrʉre,correr a un lado.
wʉsase,algo mezclado.
"wʉʉgʉ, wʉʉgo","s.v.m., f. uno, una que vuela (insecto, ave)."
wʉʉre,volar.
wʉʉrica,"avioneta, avión. 353 alegre. pl. wʉʉr ca ñ arã, wʉʉr ca ñearã."
wʉʉrʉ gõre,"revolotear (colibrí, helicóptero)."
wʉʉse,"1 avionetas, aviones. 2 cosas que vuelan. sing. wʉʉr ca pl. wʉʉse, wʉʉr car V. odecũmua, wʉʉre. wʉʉse aviones"
wʉʉwijare,volar al centro.
wʉ ase,doler (dolor sordo).
wʉ ʉore,"1 hacer levantar (poste de la casa). 2 desenvainar, sacar (las garras, gato, tigre)."
wʉ ʉre,ponerse de pie.
wʉ ʉrocawaare,"w m ó w e J] v.t.sing. golpear, pegar (la cabeza contra algo en el proceso de levantarla)."
wʉ ʉrũjure,"incorporarse, levantarse a sentar, enderezarse a sentar."
wʉ ʉrʉ gʉ re,ponerse de pie.
wʉ ʉse,"despegar, arrancar, salir volando (avión)."
wʉ ore,"hacer doler, sentir dolor."
ya J,yuja E indicador del tiempo ya (uso: marcador del fin o comienzo de un tema).
yaarã,"parientes, familia, grupo familiar (uso: ocurre después de un sustantivo o pronombre posesivo)."
yaare,"1 apagar (radio, moto, fuego), extinguir (fuego). 354 2 abrir (boca)."
yaase E,"yoose J v.i. brillar, arder."
yaawʉare,bostezar.
yabese,relampaguear (el relámpago).
yaca,especie de cucha (pez siluro pequeña). Loricariichthys spp.
yacaro momia,an.s.plural abejas yacaro momia (tienen su nido parecido a los comejenes). F. Halictidae.
Yagotubua,"cachivera (bras.), raudal, rápido en el caño Sonaña. V. apén. mapa2. yai sũʉ puma"
